current_district,division,source_geometry_name,geometry_match
Bhopal,Bhopal,Bhopal,exact
Sehore,Bhopal,Sehore,exact
Raisen,Bhopal,Raisen,exact
Rajgarh,Bhopal,Rajgarh,exact
Vidisha,Bhopal,Vidisha,exact
Morena,Chambal,Morena,exact
Sheopur,Chambal,Sheopur,exact
Bhind,Chambal,Bhind,exact
Gwalior,Gwalior,Gwalior,exact
Shivpuri,Gwalior,Shivpuri,exact
Guna,Gwalior,Guna,exact
Ashoknagar,Gwalior,Ashoknagar,exact
Datia,Gwalior,Datia,exact
Indore,Indore,Indore,exact
Dhar,Indore,Dhar,exact
Khargone,Indore,Khargone (West Nimar),alias
Barwani,Indore,Barwani,exact
Jhabua,Indore,Jhabua,exact
Alirajpur,Indore,Alirajpur,exact
Khandwa,Indore,Khandwa (East Nimar),alias
Burhanpur,Indore,Burhanpur,exact
Jabalpur,Jabalpur,Jabalpur,exact
Katni,Jabalpur,Katni,exact
Narsinghpur,Jabalpur,Narsimhapur,alias
Chhindwara,Jabalpur,Chhindwara,exact
Seoni,Jabalpur,Seoni,exact
Mandla,Jabalpur,Mandla,exact
Balaghat,Jabalpur,Balaghat,exact
Dindori,Jabalpur,Dindori,exact
Pandhurna,Jabalpur,Chhindwara,parent_pre_split
Hoshangabad,Narmadapuram,Hoshangabad,exact
Harda,Narmadapuram,Harda,exact
Betul,Narmadapuram,Betul,exact
Rewa,Rewa,Rewa,exact
Sidhi,Rewa,Sidhi,exact
Singrauli,Rewa,Singrauli,exact
Maihar,Rewa,Satna,parent_pre_split
Satna,Rewa,Satna,exact
Mauganj,Rewa,Rewa,parent_pre_split
Sagar,Sagar,Sagar,exact
Damoh,Sagar,Damoh,exact
Panna,Sagar,Panna,exact
Chhatarpur,Sagar,Chhatarpur,exact
Tikamgarh,Sagar,Tikamgarh,exact
Niwari,Sagar,Niwari,exact
Shahdol,Shahdol,Shahdol,exact
Anuppur,Shahdol,Anuppur,exact
Umaria,Shahdol,Umaria,exact
Ujjain,Ujjain,Ujjain,exact
Dewas,Ujjain,Dewas,exact
Ratlam,Ujjain,Ratlam,exact
Shajapur,Ujjain,Shajapur,exact
Agar Malwa,Ujjain,Agar,alias
Mandsaur,Ujjain,Mandsaur,exact
Neemuch,Ujjain,Neemuch,exact
